DateKey,Date,MonthShort,Day,Month,MonthShort,MonthNo,Quarter,Year
20190317,2019-03-17,Mar,Sunday,March,Mar,3,1,2019
20190318,2019-03-18,Mar,Monday,March,Mar,3,1,2019
20190319,2019-03-19,Mar,Tuesday,March,Mar,3,1,2019
20190320,2019-03-20,Mar,Wednesday,March,Mar,3,1,2019
20190321,2019-03-21,Mar,Thursday,March,Mar,3,1,2019
20190322,2019-03-22,Mar,Friday,March,Mar,3,1,2019
20190323,2019-03-23,Mar,Saturday,March,Mar,3,1,2019
20190324,2019-03-24,Mar,Sunday,March,Mar,3,1,2019
20190325,2019-03-25,Mar,Monday,March,Mar,3,1,2019
20190326,2019-03-26,Mar,Tuesday,March,Mar,3,1,2019
20190327,2019-03-27,Mar,Wednesday,March,Mar,3,1,2019
20190328,2019-03-28,Mar,Thursday,March,Mar,3,1,2019
20190329,2019-03-29,Mar,Friday,March,Mar,3,1,2019
20190330,2019-03-30,Mar,Saturday,March,Mar,3,1,2019
20190331,2019-03-31,Mar,Sunday,March,Mar,3,1,2019
20190401,2019-04-01,Apr,Monday,April,Apr,4,2,2019
20190402,2019-04-02,Apr,Tuesday,April,Apr,4,2,2019
20190403,2019-04-03,Apr,Wednesday,April,Apr,4,2,2019
20190404,2019-04-04,Apr,Thursday,April,Apr,4,2,2019
20190405,2019-04-05,Apr,Friday,April,Apr,4,2,2019
20190406,2019-04-06,Apr,Saturday,April,Apr,4,2,2019
20190407,2019-04-07,Apr,Sunday,April,Apr,4,2,2019
20190408,2019-04-08,Apr,Monday,April,Apr,4,2,2019
20190409,2019-04-09,Apr,Tuesday,April,Apr,4,2,2019
20190410,2019-04-10,Apr,Wednesday,April,Apr,4,2,2019
20190411,2019-04-11,Apr,Thursday,April,Apr,4,2,2019
20190412,2019-04-12,Apr,Friday,April,Apr,4,2,2019
20190413,2019-04-13,Apr,Saturday,April,Apr,4,2,2019
20190414,2019-04-14,Apr,Sunday,April,Apr,4,2,2019
20190415,2019-04-15,Apr,Monday,April,Apr,4,2,2019
20190416,2019-04-16,Apr,Tuesday,April,Apr,4,2,2019
20190417,2019-04-17,Apr,Wednesday,April,Apr,4,2,2019
20190418,2019-04-18,Apr,Thursday,April,Apr,4,2,2019
20190419,2019-04-19,Apr,Friday,April,Apr,4,2,2019
20190420,2019-04-20,Apr,Saturday,April,Apr,4,2,2019
20190421,2019-04-21,Apr,Sunday,April,Apr,4,2,2019
20190422,2019-04-22,Apr,Monday,April,Apr,4,2,2019
20190423,2019-04-23,Apr,Tuesday,April,Apr,4,2,2019
20190424,2019-04-24,Apr,Wednesday,April,Apr,4,2,2019
20190425,2019-04-25,Apr,Thursday,April,Apr,4,2,2019
20190426,2019-04-26,Apr,Friday,April,Apr,4,2,2019
20190427,2019-04-27,Apr,Saturday,April,Apr,4,2,2019
20190428,2019-04-28,Apr,Sunday,April,Apr,4,2,2019
20190429,2019-04-29,Apr,Monday,April,Apr,4,2,2019
20190430,2019-04-30,Apr,Tuesday,April,Apr,4,2,2019
20190501,2019-05-01,May,Wednesday,May,May,5,2,2019
20190502,2019-05-02,May,Thursday,May,May,5,2,2019
20190503,2019-05-03,May,Friday,May,May,5,2,2019
20190504,2019-05-04,May,Saturday,May,May,5,2,2019
20190505,2019-05-05,May,Sunday,May,May,5,2,2019
20190506,2019-05-06,May,Monday,May,May,5,2,2019
20190507,2019-05-07,May,Tuesday,May,May,5,2,2019
20190508,2019-05-08,May,Wednesday,May,May,5,2,2019
20190509,2019-05-09,May,Thursday,May,May,5,2,2019
20190510,2019-05-10,May,Friday,May,May,5,2,2019
20190511,2019-05-11,May,Saturday,May,May,5,2,2019
20190512,2019-05-12,May,Sunday,May,May,5,2,2019
20190513,2019-05-13,May,Monday,May,May,5,2,2019
20190514,2019-05-14,May,Tuesday,May,May,5,2,2019
20190515,2019-05-15,May,Wednesday,May,May,5,2,2019
20190516,2019-05-16,May,Thursday,May,May,5,2,2019
20190517,2019-05-17,May,Friday,May,May,5,2,2019
20190518,2019-05-18,May,Saturday,May,May,5,2,2019
20190519,2019-05-19,May,Sunday,May,May,5,2,2019
20190520,2019-05-20,May,Monday,May,May,5,2,2019
20190521,2019-05-21,May,Tuesday,May,May,5,2,2019
20190522,2019-05-22,May,Wednesday,May,May,5,2,2019
20190523,2019-05-23,May,Thursday,May,May,5,2,2019
20190524,2019-05-24,May,Friday,May,May,5,2,2019
20190525,2019-05-25,May,Saturday,May,May,5,2,2019
20190526,2019-05-26,May,Sunday,May,May,5,2,2019
20190527,2019-05-27,May,Monday,May,May,5,2,2019
20190528,2019-05-28,May,Tuesday,May,May,5,2,2019
20190529,2019-05-29,May,Wednesday,May,May,5,2,2019
20190530,2019-05-30,May,Thursday,May,May,5,2,2019
20190531,2019-05-31,May,Friday,May,May,5,2,2019
20190601,2019-06-01,Jun,Saturday,June,Jun,6,2,2019
20190602,2019-06-02,Jun,Sunday,June,Jun,6,2,2019
20190603,2019-06-03,Jun,Monday,June,Jun,6,2,2019
20190604,2019-06-04,Jun,Tuesday,June,Jun,6,2,2019
20190605,2019-06-05,Jun,Wednesday,June,Jun,6,2,2019
20190606,2019-06-06,Jun,Thursday,June,Jun,6,2,2019
20190607,2019-06-07,Jun,Friday,June,Jun,6,2,2019
20190608,2019-06-08,Jun,Saturday,June,Jun,6,2,2019
20190609,2019-06-09,Jun,Sunday,June,Jun,6,2,2019
20190610,2019-06-10,Jun,Monday,June,Jun,6,2,2019
20190611,2019-06-11,Jun,Tuesday,June,Jun,6,2,2019
20190612,2019-06-12,Jun,Wednesday,June,Jun,6,2,2019
20190613,2019-06-13,Jun,Thursday,June,Jun,6,2,2019
20190614,2019-06-14,Jun,Friday,June,Jun,6,2,2019
20190615,2019-06-15,Jun,Saturday,June,Jun,6,2,2019
20190616,2019-06-16,Jun,Sunday,June,Jun,6,2,2019
20190617,2019-06-17,Jun,Monday,June,Jun,6,2,2019
20190618,2019-06-18,Jun,Tuesday,June,Jun,6,2,2019
20190619,2019-06-19,Jun,Wednesday,June,Jun,6,2,2019
20190620,2019-06-20,Jun,Thursday,June,Jun,6,2,2019
20190621,2019-06-21,Jun,Friday,June,Jun,6,2,2019
20190622,2019-06-22,Jun,Saturday,June,Jun,6,2,2019
20190623,2019-06-23,Jun,Sunday,June,Jun,6,2,2019
20190624,2019-06-24,Jun,Monday,June,Jun,6,2,2019
20190625,2019-06-25,Jun,Tuesday,June,Jun,6,2,2019
20190626,2019-06-26,Jun,Wednesday,June,Jun,6,2,2019
20190627,2019-06-27,Jun,Thursday,June,Jun,6,2,2019
20190628,2019-06-28,Jun,Friday,June,Jun,6,2,2019
20190629,2019-06-29,Jun,Saturday,June,Jun,6,2,2019
20190630,2019-06-30,Jun,Sunday,June,Jun,6,2,2019
20190701,2019-07-01,Jul,Monday,July,Jul,7,3,2019
20190702,2019-07-02,Jul,Tuesday,July,Jul,7,3,2019
20190703,2019-07-03,Jul,Wednesday,July,Jul,7,3,2019
20190704,2019-07-04,Jul,Thursday,July,Jul,7,3,2019
20190705,2019-07-05,Jul,Friday,July,Jul,7,3,2019
20190706,2019-07-06,Jul,Saturday,July,Jul,7,3,2019
20190707,2019-07-07,Jul,Sunday,July,Jul,7,3,2019
20190708,2019-07-08,Jul,Monday,July,Jul,7,3,2019
20190709,2019-07-09,Jul,Tuesday,July,Jul,7,3,2019
20190710,2019-07-10,Jul,Wednesday,July,Jul,7,3,2019
20190711,2019-07-11,Jul,Thursday,July,Jul,7,3,2019
20190712,2019-07-12,Jul,Friday,July,Jul,7,3,2019
20190713,2019-07-13,Jul,Saturday,July,Jul,7,3,2019
20190714,2019-07-14,Jul,Sunday,July,Jul,7,3,2019
20190715,2019-07-15,Jul,Monday,July,Jul,7,3,2019
20190716,2019-07-16,Jul,Tuesday,July,Jul,7,3,2019
20190717,2019-07-17,Jul,Wednesday,July,Jul,7,3,2019
20190718,2019-07-18,Jul,Thursday,July,Jul,7,3,2019
20190719,2019-07-19,Jul,Friday,July,Jul,7,3,2019
20190720,2019-07-20,Jul,Saturday,July,Jul,7,3,2019
20190721,2019-07-21,Jul,Sunday,July,Jul,7,3,2019
20190722,2019-07-22,Jul,Monday,July,Jul,7,3,2019
20190723,2019-07-23,Jul,Tuesday,July,Jul,7,3,2019
20190724,2019-07-24,Jul,Wednesday,July,Jul,7,3,2019
20190725,2019-07-25,Jul,Thursday,July,Jul,7,3,2019
20190726,2019-07-26,Jul,Friday,July,Jul,7,3,2019
20190727,2019-07-27,Jul,Saturday,July,Jul,7,3,2019
20190728,2019-07-28,Jul,Sunday,July,Jul,7,3,2019
20190729,2019-07-29,Jul,Monday,July,Jul,7,3,2019
20190730,2019-07-30,Jul,Tuesday,July,Jul,7,3,2019
20190731,2019-07-31,Jul,Wednesday,July,Jul,7,3,2019
20190801,2019-08-01,Aug,Thursday,August,Aug,8,3,2019
20190802,2019-08-02,Aug,Friday,August,Aug,8,3,2019
20190803,2019-08-03,Aug,Saturday,August,Aug,8,3,2019
20190804,2019-08-04,Aug,Sunday,August,Aug,8,3,2019
20190805,2019-08-05,Aug,Monday,August,Aug,8,3,2019
20190806,2019-08-06,Aug,Tuesday,August,Aug,8,3,2019
20190807,2019-08-07,Aug,Wednesday,August,Aug,8,3,2019
20190808,2019-08-08,Aug,Thursday,August,Aug,8,3,2019
20190809,2019-08-09,Aug,Friday,August,Aug,8,3,2019
20190810,2019-08-10,Aug,Saturday,August,Aug,8,3,2019
20190811,2019-08-11,Aug,Sunday,August,Aug,8,3,2019
20190812,2019-08-12,Aug,Monday,August,Aug,8,3,2019
20190813,2019-08-13,Aug,Tuesday,August,Aug,8,3,2019
20190814,2019-08-14,Aug,Wednesday,August,Aug,8,3,2019
20190815,2019-08-15,Aug,Thursday,August,Aug,8,3,2019
20190816,2019-08-16,Aug,Friday,August,Aug,8,3,2019
20190817,2019-08-17,Aug,Saturday,August,Aug,8,3,2019
20190818,2019-08-18,Aug,Sunday,August,Aug,8,3,2019
20190819,2019-08-19,Aug,Monday,August,Aug,8,3,2019
20190820,2019-08-20,Aug,Tuesday,August,Aug,8,3,2019
20190821,2019-08-21,Aug,Wednesday,August,Aug,8,3,2019
20190822,2019-08-22,Aug,Thursday,August,Aug,8,3,2019
20190823,2019-08-23,Aug,Friday,August,Aug,8,3,2019
20190824,2019-08-24,Aug,Saturday,August,Aug,8,3,2019
20190825,2019-08-25,Aug,Sunday,August,Aug,8,3,2019
20190826,2019-08-26,Aug,Monday,August,Aug,8,3,2019
20190827,2019-08-27,Aug,Tuesday,August,Aug,8,3,2019
20190828,2019-08-28,Aug,Wednesday,August,Aug,8,3,2019
20190829,2019-08-29,Aug,Thursday,August,Aug,8,3,2019
20190830,2019-08-30,Aug,Friday,August,Aug,8,3,2019
20190831,2019-08-31,Aug,Saturday,August,Aug,8,3,2019
20190901,2019-09-01,Sep,Sunday,September,Sep,9,3,2019
20190902,2019-09-02,Sep,Monday,September,Sep,9,3,2019
20190903,2019-09-03,Sep,Tuesday,September,Sep,9,3,2019
20190904,2019-09-04,Sep,Wednesday,September,Sep,9,3,2019
20190905,2019-09-05,Sep,Thursday,September,Sep,9,3,2019
20190906,2019-09-06,Sep,Friday,September,Sep,9,3,2019
20190907,2019-09-07,Sep,Saturday,September,Sep,9,3,2019
20190908,2019-09-08,Sep,Sunday,September,Sep,9,3,2019
20190909,2019-09-09,Sep,Monday,September,Sep,9,3,2019
20190910,2019-09-10,Sep,Tuesday,September,Sep,9,3,2019
20190911,2019-09-11,Sep,Wednesday,September,Sep,9,3,2019
20190912,2019-09-12,Sep,Thursday,September,Sep,9,3,2019
20190913,2019-09-13,Sep,Friday,September,Sep,9,3,2019
20190914,2019-09-14,Sep,Saturday,September,Sep,9,3,2019
20190915,2019-09-15,Sep,Sunday,September,Sep,9,3,2019
20190916,2019-09-16,Sep,Monday,September,Sep,9,3,2019
20190917,2019-09-17,Sep,Tuesday,September,Sep,9,3,2019
20190918,2019-09-18,Sep,Wednesday,September,Sep,9,3,2019
20190919,2019-09-19,Sep,Thursday,September,Sep,9,3,2019
20190920,2019-09-20,Sep,Friday,September,Sep,9,3,2019
20190921,2019-09-21,Sep,Saturday,September,Sep,9,3,2019
20190922,2019-09-22,Sep,Sunday,September,Sep,9,3,2019
20190923,2019-09-23,Sep,Monday,September,Sep,9,3,2019
20190924,2019-09-24,Sep,Tuesday,September,Sep,9,3,2019
20190925,2019-09-25,Sep,Wednesday,September,Sep,9,3,2019
20190926,2019-09-26,Sep,Thursday,September,Sep,9,3,2019
20190927,2019-09-27,Sep,Friday,September,Sep,9,3,2019
20190928,2019-09-28,Sep,Saturday,September,Sep,9,3,2019
20190929,2019-09-29,Sep,Sunday,September,Sep,9,3,2019
20190930,2019-09-30,Sep,Monday,September,Sep,9,3,2019
20191001,2019-10-01,Oct,Tuesday,October,Oct,10,4,2019
20191002,2019-10-02,Oct,Wednesday,October,Oct,10,4,2019
20191003,2019-10-03,Oct,Thursday,October,Oct,10,4,2019
20191004,2019-10-04,Oct,Friday,October,Oct,10,4,2019
20191005,2019-10-05,Oct,Saturday,October,Oct,10,4,2019
20191006,2019-10-06,Oct,Sunday,October,Oct,10,4,2019
20191007,2019-10-07,Oct,Monday,October,Oct,10,4,2019
20191008,2019-10-08,Oct,Tuesday,October,Oct,10,4,2019
20191009,2019-10-09,Oct,Wednesday,October,Oct,10,4,2019
20191010,2019-10-10,Oct,Thursday,October,Oct,10,4,2019
20191011,2019-10-11,Oct,Friday,October,Oct,10,4,2019
20191012,2019-10-12,Oct,Saturday,October,Oct,10,4,2019
20191013,2019-10-13,Oct,Sunday,October,Oct,10,4,2019
20191014,2019-10-14,Oct,Monday,October,Oct,10,4,2019
20191015,2019-10-15,Oct,Tuesday,October,Oct,10,4,2019
20191016,2019-10-16,Oct,Wednesday,October,Oct,10,4,2019
20191017,2019-10-17,Oct,Thursday,October,Oct,10,4,2019
20191018,2019-10-18,Oct,Friday,October,Oct,10,4,2019
20191019,2019-10-19,Oct,Saturday,October,Oct,10,4,2019
20191020,2019-10-20,Oct,Sunday,October,Oct,10,4,2019
20191021,2019-10-21,Oct,Monday,October,Oct,10,4,2019
20191022,2019-10-22,Oct,Tuesday,October,Oct,10,4,2019
20191023,2019-10-23,Oct,Wednesday,October,Oct,10,4,2019
20191024,2019-10-24,Oct,Thursday,October,Oct,10,4,2019
20191025,2019-10-25,Oct,Friday,October,Oct,10,4,2019
20191026,2019-10-26,Oct,Saturday,October,Oct,10,4,2019
20191027,2019-10-27,Oct,Sunday,October,Oct,10,4,2019
20191028,2019-10-28,Oct,Monday,October,Oct,10,4,2019
20191029,2019-10-29,Oct,Tuesday,October,Oct,10,4,2019
20191030,2019-10-30,Oct,Wednesday,October,Oct,10,4,2019
20191031,2019-10-31,Oct,Thursday,October,Oct,10,4,2019
20191101,2019-11-01,Nov,Friday,November,Nov,11,4,2019
20191102,2019-11-02,Nov,Saturday,November,Nov,11,4,2019
20191103,2019-11-03,Nov,Sunday,November,Nov,11,4,2019
20191104,2019-11-04,Nov,Monday,November,Nov,11,4,2019
20191105,2019-11-05,Nov,Tuesday,November,Nov,11,4,2019
20191106,2019-11-06,Nov,Wednesday,November,Nov,11,4,2019
20191107,2019-11-07,Nov,Thursday,November,Nov,11,4,2019
20191108,2019-11-08,Nov,Friday,November,Nov,11,4,2019
20191109,2019-11-09,Nov,Saturday,November,Nov,11,4,2019
20191110,2019-11-10,Nov,Sunday,November,Nov,11,4,2019
20191111,2019-11-11,Nov,Monday,November,Nov,11,4,2019
20191112,2019-11-12,Nov,Tuesday,November,Nov,11,4,2019
20191113,2019-11-13,Nov,Wednesday,November,Nov,11,4,2019
20191114,2019-11-14,Nov,Thursday,November,Nov,11,4,2019
20191115,2019-11-15,Nov,Friday,November,Nov,11,4,2019
20191116,2019-11-16,Nov,Saturday,November,Nov,11,4,2019
20191117,2019-11-17,Nov,Sunday,November,Nov,11,4,2019
20191118,2019-11-18,Nov,Monday,November,Nov,11,4,2019
20191119,2019-11-19,Nov,Tuesday,November,Nov,11,4,2019
20191120,2019-11-20,Nov,Wednesday,November,Nov,11,4,2019
20191121,2019-11-21,Nov,Thursday,November,Nov,11,4,2019
20191122,2019-11-22,Nov,Friday,November,Nov,11,4,2019
20191123,2019-11-23,Nov,Saturday,November,Nov,11,4,2019
20191124,2019-11-24,Nov,Sunday,November,Nov,11,4,2019
20191125,2019-11-25,Nov,Monday,November,Nov,11,4,2019
20191126,2019-11-26,Nov,Tuesday,November,Nov,11,4,2019
20191127,2019-11-27,Nov,Wednesday,November,Nov,11,4,2019
20191128,2019-11-28,Nov,Thursday,November,Nov,11,4,2019
20191129,2019-11-29,Nov,Friday,November,Nov,11,4,2019
20191130,2019-11-30,Nov,Saturday,November,Nov,11,4,2019
20191201,2019-12-01,Dec,Sunday,December,Dec,12,4,2019
20191202,2019-12-02,Dec,Monday,December,Dec,12,4,2019
20191203,2019-12-03,Dec,Tuesday,December,Dec,12,4,2019
20191204,2019-12-04,Dec,Wednesday,December,Dec,12,4,2019
20191205,2019-12-05,Dec,Thursday,December,Dec,12,4,2019
20191206,2019-12-06,Dec,Friday,December,Dec,12,4,2019
20191207,2019-12-07,Dec,Saturday,December,Dec,12,4,2019
20191208,2019-12-08,Dec,Sunday,December,Dec,12,4,2019
20191209,2019-12-09,Dec,Monday,December,Dec,12,4,2019
20191210,2019-12-10,Dec,Tuesday,December,Dec,12,4,2019
20191211,2019-12-11,Dec,Wednesday,December,Dec,12,4,2019
20191212,2019-12-12,Dec,Thursday,December,Dec,12,4,2019
20191213,2019-12-13,Dec,Friday,December,Dec,12,4,2019
20191214,2019-12-14,Dec,Saturday,December,Dec,12,4,2019
20191215,2019-12-15,Dec,Sunday,December,Dec,12,4,2019
20191216,2019-12-16,Dec,Monday,December,Dec,12,4,2019
20191217,2019-12-17,Dec,Tuesday,December,Dec,12,4,2019
20191218,2019-12-18,Dec,Wednesday,December,Dec,12,4,2019
20191219,2019-12-19,Dec,Thursday,December,Dec,12,4,2019
20191220,2019-12-20,Dec,Friday,December,Dec,12,4,2019
20191221,2019-12-21,Dec,Saturday,December,Dec,12,4,2019
20191222,2019-12-22,Dec,Sunday,December,Dec,12,4,2019
20191223,2019-12-23,Dec,Monday,December,Dec,12,4,2019
20191224,2019-12-24,Dec,Tuesday,December,Dec,12,4,2019
20191225,2019-12-25,Dec,Wednesday,December,Dec,12,4,2019
20191226,2019-12-26,Dec,Thursday,December,Dec,12,4,2019
20191227,2019-12-27,Dec,Friday,December,Dec,12,4,2019
20191228,2019-12-28,Dec,Saturday,December,Dec,12,4,2019
20191229,2019-12-29,Dec,Sunday,December,Dec,12,4,2019
20191230,2019-12-30,Dec,Monday,December,Dec,12,4,2019
20191231,2019-12-31,Dec,Tuesday,December,Dec,12,4,2019
20200101,2020-01-01,Jan,Wednesday,January,Jan,1,1,2020
20200102,2020-01-02,Jan,Thursday,January,Jan,1,1,2020
20200103,2020-01-03,Jan,Friday,January,Jan,1,1,2020
20200104,2020-01-04,Jan,Saturday,January,Jan,1,1,2020
20200105,2020-01-05,Jan,Sunday,January,Jan,1,1,2020
20200106,2020-01-06,Jan,Monday,January,Jan,1,1,2020
20200107,2020-01-07,Jan,Tuesday,January,Jan,1,1,2020
20200108,2020-01-08,Jan,Wednesday,January,Jan,1,1,2020
20200109,2020-01-09,Jan,Thursday,January,Jan,1,1,2020
20200110,2020-01-10,Jan,Friday,January,Jan,1,1,2020
20200111,2020-01-11,Jan,Saturday,January,Jan,1,1,2020
20200112,2020-01-12,Jan,Sunday,January,Jan,1,1,2020
20200113,2020-01-13,Jan,Monday,January,Jan,1,1,2020
20200114,2020-01-14,Jan,Tuesday,January,Jan,1,1,2020
20200115,2020-01-15,Jan,Wednesday,January,Jan,1,1,2020
20200116,2020-01-16,Jan,Thursday,January,Jan,1,1,2020
20200117,2020-01-17,Jan,Friday,January,Jan,1,1,2020
20200118,2020-01-18,Jan,Saturday,January,Jan,1,1,2020
20200119,2020-01-19,Jan,Sunday,January,Jan,1,1,2020
20200120,2020-01-20,Jan,Monday,January,Jan,1,1,2020
20200121,2020-01-21,Jan,Tuesday,January,Jan,1,1,2020
20200122,2020-01-22,Jan,Wednesday,January,Jan,1,1,2020
20200123,2020-01-23,Jan,Thursday,January,Jan,1,1,2020
20200124,2020-01-24,Jan,Friday,January,Jan,1,1,2020
20200125,2020-01-25,Jan,Saturday,January,Jan,1,1,2020
20200126,2020-01-26,Jan,Sunday,January,Jan,1,1,2020
20200127,2020-01-27,Jan,Monday,January,Jan,1,1,2020
20200128,2020-01-28,Jan,Tuesday,January,Jan,1,1,2020
20200129,2020-01-29,Jan,Wednesday,January,Jan,1,1,2020
20200130,2020-01-30,Jan,Thursday,January,Jan,1,1,2020
20200131,2020-01-31,Jan,Friday,January,Jan,1,1,2020
20200201,2020-02-01,Feb,Saturday,February,Feb,2,1,2020
20200202,2020-02-02,Feb,Sunday,February,Feb,2,1,2020
20200203,2020-02-03,Feb,Monday,February,Feb,2,1,2020
20200204,2020-02-04,Feb,Tuesday,February,Feb,2,1,2020
20200205,2020-02-05,Feb,Wednesday,February,Feb,2,1,2020
20200206,2020-02-06,Feb,Thursday,February,Feb,2,1,2020
20200207,2020-02-07,Feb,Friday,February,Feb,2,1,2020
20200208,2020-02-08,Feb,Saturday,February,Feb,2,1,2020
20200209,2020-02-09,Feb,Sunday,February,Feb,2,1,2020
20200210,2020-02-10,Feb,Monday,February,Feb,2,1,2020
20200211,2020-02-11,Feb,Tuesday,February,Feb,2,1,2020
20200212,2020-02-12,Feb,Wednesday,February,Feb,2,1,2020
20200213,2020-02-13,Feb,Thursday,February,Feb,2,1,2020
20200214,2020-02-14,Feb,Friday,February,Feb,2,1,2020
20200215,2020-02-15,Feb,Saturday,February,Feb,2,1,2020
20200216,2020-02-16,Feb,Sunday,February,Feb,2,1,2020
20200217,2020-02-17,Feb,Monday,February,Feb,2,1,2020
20200218,2020-02-18,Feb,Tuesday,February,Feb,2,1,2020
20200219,2020-02-19,Feb,Wednesday,February,Feb,2,1,2020
20200220,2020-02-20,Feb,Thursday,February,Feb,2,1,2020
20200221,2020-02-21,Feb,Friday,February,Feb,2,1,2020
20200222,2020-02-22,Feb,Saturday,February,Feb,2,1,2020
20200223,2020-02-23,Feb,Sunday,February,Feb,2,1,2020
20200224,2020-02-24,Feb,Monday,February,Feb,2,1,2020
20200225,2020-02-25,Feb,Tuesday,February,Feb,2,1,2020
20200226,2020-02-26,Feb,Wednesday,February,Feb,2,1,2020
20200227,2020-02-27,Feb,Thursday,February,Feb,2,1,2020
20200228,2020-02-28,Feb,Friday,February,Feb,2,1,2020
20200229,2020-02-29,Feb,Saturday,February,Feb,2,1,2020
