JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
2961,2,1,2024-03-07,CHECKOUT,Drop-off,147.666666666667
1960,2,2,2023-09-24,HOMEPAGE,Click,101
87,2,2,2023-09-25,HOMEPAGE,View,277
381,2,3,2024-03-23,PRODUCTPAGE,View,187
1291,2,3,2025-07-09,PRODUCTPAGE,View,88
2560,2,3,2025-10-25,CHECKOUT,Drop-off,244
1965,2,3,2025-11-22,HOMEPAGE,View,73
33,2,5,2025-08-10,HOMEPAGE,View,26
2745,2,7,2024-02-26,HOMEPAGE,Click,203
1527,2,7,2024-10-24,HOMEPAGE,View,22
440,2,7,2025-10-12,PRODUCTPAGE,View,187
1840,2,8,2023-03-16,HOMEPAGE,View,195
331,2,8,2025-05-07,PRODUCTPAGE,View,128
585,2,9,2023-01-12,HOMEPAGE,View,250
1747,2,9,2023-02-08,HOMEPAGE,Click,288
3684,2,9,2024-08-31,HOMEPAGE,Click,217
3930,2,9,2024-09-22,HOMEPAGE,Click,260
1752,2,9,2025-07-12,PRODUCTPAGE,View,257
3141,2,10,2024-12-27,PRODUCTPAGE,View,218
1806,2,11,2025-01-11,HOMEPAGE,View,256
384,2,12,2024-09-24,CHECKOUT,Drop-off,137.666666666667
3000,2,12,2025-03-25,HOMEPAGE,View,68
1673,2,12,2025-08-23,PRODUCTPAGE,Click,275
1917,2,13,2025-01-21,CHECKOUT,Drop-off,159
1787,2,14,2023-02-16,PRODUCTPAGE,View,163
877,2,14,2025-11-14,CHECKOUT,Drop-off,26
1589,2,15,2023-08-04,PRODUCTPAGE,View,38
832,2,15,2023-11-26,PRODUCTPAGE,View,14
359,2,17,2024-03-16,HOMEPAGE,View,141
2399,2,17,2024-03-20,CHECKOUT,Purchase,197
1786,2,18,2025-01-18,CHECKOUT,Drop-off,164.333333333333
1856,2,19,2024-07-25,PRODUCTPAGE,View,216
3104,2,20,2023-04-05,HOMEPAGE,View,21
3080,3,1,2023-01-08,HOMEPAGE,View,66
2467,3,1,2024-03-01,HOMEPAGE,View,205
1831,3,2,2023-11-13,HOMEPAGE,View,56
264,3,2,2024-09-05,PRODUCTPAGE,View,222
2802,3,3,2023-01-20,HOMEPAGE,View,131
3901,3,4,2023-05-01,HOMEPAGE,View,69
441,3,5,2023-05-23,PRODUCTPAGE,View,51
3126,3,5,2023-06-16,PRODUCTPAGE,View,132
244,3,5,2025-04-24,PRODUCTPAGE,Click,187
3694,3,6,2024-03-18,HOMEPAGE,View,264
3548,3,6,2024-09-29,CHECKOUT,Purchase,295
3324,3,6,2025-03-06,HOMEPAGE,View,212
2252,3,7,2023-01-12,HOMEPAGE,View,64
3002,3,8,2024-03-21,HOMEPAGE,View,288
1690,3,10,2023-02-15,PRODUCTPAGE,View,85
2536,3,12,2024-01-31,HOMEPAGE,View,270
2256,3,13,2025-12-15,HOMEPAGE,View,284
2158,3,14,2023-06-18,PRODUCTPAGE,View,39
2698,3,14,2024-04-03,HOMEPAGE,View,298
330,3,14,2024-04-11,CHECKOUT,Purchase,249
2836,3,14,2025-07-06,PRODUCTPAGE,View,200
2575,3,15,2023-07-16,PRODUCTPAGE,View,229
2596,3,17,2024-07-03,HOMEPAGE,View,261
2812,3,17,2025-06-28,CHECKOUT,Purchase,71
468,3,19,2025-06-25,HOMEPAGE,View,215
1348,3,20,2023-07-19,CHECKOUT,Drop-off,149.5
3896,3,20,2025-07-11,PRODUCTPAGE,View,215
412,3,20,2025-08-08,PRODUCTPAGE,Click,74
2645,4,2,2023-05-13,HOMEPAGE,View,270
2485,4,2,2023-08-07,CHECKOUT,Drop-off,188.333333333333
3270,4,2,2024-07-02,PRODUCTPAGE,View,217
2603,4,2,2025-01-16,HOMEPAGE,View,254
3604,4,2,2025-06-25,HOMEPAGE,View,127
3747,4,3,2023-03-14,PRODUCTPAGE,View,82
445,4,3,2025-05-09,PRODUCTPAGE,Click,235
922,4,4,2024-08-02,PRODUCTPAGE,View,178
2087,4,5,2023-07-01,HOMEPAGE,Click,135
2448,4,7,2023-10-23,HOMEPAGE,View,24
535,4,7,2025-03-31,HOMEPAGE,View,135
2159,4,8,2025-12-15,PRODUCTPAGE,View,259
2226,4,9,2024-03-20,HOMEPAGE,View,259
1510,4,9,2024-12-07,HOMEPAGE,View,276
2757,4,9,2025-02-18,HOMEPAGE,View,28
569,4,9,2025-05-09,PRODUCTPAGE,View,54
1123,4,10,2024-10-22,HOMEPAGE,Click,236
1346,4,11,2023-02-09,HOMEPAGE,Click,111
1008,4,11,2024-02-01,HOMEPAGE,Click,219
40,4,12,2024-12-22,HOMEPAGE,View,110
1344,4,12,2025-09-16,PRODUCTPAGE,Click,254
2079,4,13,2023-10-02,PRODUCTPAGE,Click,153
1648,4,13,2025-01-03,CHECKOUT,Drop-off,160
504,4,13,2025-02-08,HOMEPAGE,Click,281
1315,4,14,2025-03-30,PRODUCTPAGE,Click,215
1086,4,16,2024-08-15,PRODUCTPAGE,Click,74
2671,4,16,2024-09-16,CHECKOUT,Purchase,274
3108,4,16,2024-11-05,HOMEPAGE,View,132
1569,4,18,2025-11-11,HOMEPAGE,View,277
2381,4,19,2023-02-09,HOMEPAGE,View,273
3383,4,19,2023-06-14,CHECKOUT,Drop-off,121.75
917,4,19,2023-10-08,PRODUCTPAGE,Click,55
3917,5,1,2025-10-04,HOMEPAGE,View,188
3081,5,2,2023-03-20,HOMEPAGE,Click,237
2202,5,3,2024-09-07,HOMEPAGE,Click,121
1619,5,3,2025-02-15,CHECKOUT,Drop-off,142
682,5,4,2023-04-20,PRODUCTPAGE,Click,127
127,5,4,2023-12-11,HOMEPAGE,View,287
1454,5,4,2024-06-08,HOMEPAGE,View,71
1745,5,4,2024-07-25,HOMEPAGE,Click,270
2614,5,5,2025-07-09,HOMEPAGE,Click,183
3202,5,6,2023-12-08,PRODUCTPAGE,View,246
3033,5,6,2024-06-07,PRODUCTPAGE,Click,31
1472,5,7,2023-08-13,HOMEPAGE,View,35
3515,5,8,2023-02-22,HOMEPAGE,View,280
1812,5,8,2023-06-27,PRODUCTPAGE,View,227
1221,5,9,2023-12-25,HOMEPAGE,Click,31
50,5,9,2024-04-19,HOMEPAGE,View,44
2307,5,11,2023-06-28,PRODUCTPAGE,View,104
1109,5,14,2024-12-29,PRODUCTPAGE,View,205
3020,5,15,2023-04-19,HOMEPAGE,View,164
850,5,15,2023-08-04,PRODUCTPAGE,View,87
2056,5,15,2024-02-15,PRODUCTPAGE,View,129
3267,5,15,2024-09-15,PRODUCTPAGE,View,35
1111,5,17,2023-03-25,HOMEPAGE,View,164
177,5,17,2024-03-06,PRODUCTPAGE,View,237
2511,5,19,2023-08-30,HOMEPAGE,View,207
2169,5,19,2024-01-13,HOMEPAGE,View,135
3712,5,20,2024-05-22,CHECKOUT,Drop-off,234
3402,5,20,2025-12-30,HOMEPAGE,View,248
288,6,1,2023-04-11,HOMEPAGE,Click,128
1077,6,1,2025-03-13,HOMEPAGE,Click,140
1085,6,3,2025-12-09,HOMEPAGE,Click,139
1639,6,4,2023-04-21,PRODUCTPAGE,View,167
3403,6,4,2023-07-25,PRODUCTPAGE,View,46
2502,6,4,2024-01-28,HOMEPAGE,View,121
365,6,5,2023-06-04,CHECKOUT,Drop-off,150.625
1908,6,7,2023-04-22,PRODUCTPAGE,View,172
267,6,7,2025-04-17,CHECKOUT,Drop-off,99.6666666666667
2783,6,8,2023-01-31,PRODUCTPAGE,View,16
2939,6,9,2024-01-20,PRODUCTPAGE,View,249
1217,6,10,2023-04-29,HOMEPAGE,View,66
2439,6,10,2025-01-07,CHECKOUT,Drop-off,108
2070,6,10,2025-07-05,HOMEPAGE,View,154
952,6,11,2024-02-05,CHECKOUT,Drop-off,94
2203,6,11,2024-08-22,PRODUCTPAGE,Click,136
3387,6,11,2025-07-06,CHECKOUT,Drop-off,200
3572,6,12,2024-08-11,HOMEPAGE,Click,288
709,6,13,2024-04-28,HOMEPAGE,Click,196
1744,6,14,2025-05-01,CHECKOUT,Purchase,48
1355,6,14,2025-07-04,HOMEPAGE,View,43
1283,6,14,2025-07-10,CHECKOUT,Drop-off,129.5
1665,6,15,2023-08-24,HOMEPAGE,View,281
1845,6,15,2023-10-17,HOMEPAGE,View,291
1668,6,16,2023-11-22,PRODUCTPAGE,View,220
1199,6,16,2025-07-16,PRODUCTPAGE,View,287
3529,6,16,2025-10-18,PRODUCTPAGE,View,141
1992,6,17,2023-09-07,HOMEPAGE,View,293
2688,6,17,2024-02-15,HOMEPAGE,Click,157
1783,6,18,2024-11-14,HOMEPAGE,View,279
2616,6,18,2025-12-20,HOMEPAGE,View,162
3250,6,20,2024-12-17,HOMEPAGE,View,75
2631,7,1,2023-03-03,HOMEPAGE,Click,30
3118,7,1,2025-11-11,CHECKOUT,Purchase,73
2032,7,2,2023-07-15,PRODUCTPAGE,View,75
3331,7,4,2023-07-08,HOMEPAGE,View,30
1750,7,5,2023-11-10,PRODUCTPAGE,View,181
2348,7,6,2024-04-11,CHECKOUT,Drop-off,172.25
227,7,6,2024-05-01,PRODUCTPAGE,Click,171
2597,7,6,2024-07-01,PRODUCTPAGE,View,273
1413,7,7,2023-02-28,HOMEPAGE,View,173
3035,7,7,2023-04-15,HOMEPAGE,View,130
543,7,7,2024-06-26,CHECKOUT,Drop-off,199.6
2229,7,8,2023-06-11,PRODUCTPAGE,Click,181
2191,7,8,2024-12-23,PRODUCTPAGE,Click,289
2787,7,8,2025-07-21,HOMEPAGE,Click,91
3556,7,9,2025-09-06,CHECKOUT,Purchase,23
299,7,9,2025-10-27,HOMEPAGE,View,195
184,7,11,2024-09-30,PRODUCTPAGE,View,250
103,7,11,2025-12-06,CHECKOUT,Drop-off,35.5
3363,7,13,2024-06-24,HOMEPAGE,Click,156
3858,7,14,2023-05-12,HOMEPAGE,View,125
1186,7,14,2023-08-08,PRODUCTPAGE,Click,272
2199,7,15,2023-01-31,HOMEPAGE,View,122
1004,7,15,2024-05-10,HOMEPAGE,View,23
2095,7,16,2024-11-10,HOMEPAGE,Click,57
1208,7,18,2025-03-22,PRODUCTPAGE,Click,124
3649,7,18,2025-11-29,PRODUCTPAGE,View,276
430,7,20,2025-01-19,PRODUCTPAGE,Click,63
3596,8,1,2024-03-05,HOMEPAGE,View,195
167,8,4,2023-02-18,PRODUCTPAGE,View,133
1055,8,4,2024-12-29,PRODUCTPAGE,View,133
195,8,4,2025-08-12,HOMEPAGE,Click,16
1313,8,5,2023-02-07,PRODUCTPAGE,View,79
3726,8,5,2024-05-05,HOMEPAGE,View,106
3829,8,5,2024-11-02,CHECKOUT,Drop-off,150
3752,8,6,2024-10-30,PRODUCTPAGE,View,141
3665,8,7,2024-06-18,PRODUCTPAGE,Click,38
829,8,8,2023-03-21,HOMEPAGE,Click,295
3256,8,8,2024-05-08,HOMEPAGE,View,55
742,8,9,2023-06-04,HOMEPAGE,View,79
1015,8,11,2024-01-14,CHECKOUT,Purchase,98
2592,8,12,2023-10-12,PRODUCTPAGE,View,15
557,8,12,2025-07-16,CHECKOUT,Drop-off,215.125
2742,8,13,2023-02-20,HOMEPAGE,Click,292
1060,8,13,2023-03-29,HOMEPAGE,Click,264
2519,8,13,2024-05-22,PRODUCTPAGE,View,216
2977,8,13,2024-06-09,HOMEPAGE,Click,284
1870,8,14,2023-03-15,HOMEPAGE,View,241
2846,8,14,2024-05-29,HOMEPAGE,View,109
3037,8,14,2024-08-21,CHECKOUT,Drop-off,121
896,8,16,2023-06-26,PRODUCTPAGE,View,273
2313,8,16,2023-07-18,PRODUCTPAGE,View,160
807,8,16,2024-06-07,HOMEPAGE,Click,94
2374,8,17,2025-09-12,HOMEPAGE,View,293
995,8,17,2025-09-29,PRODUCTPAGE,View,135
2643,8,18,2023-09-26,HOMEPAGE,View,110
3444,8,18,2025-08-24,HOMEPAGE,Click,77
2286,8,19,2023-11-20,HOMEPAGE,View,63
2750,8,19,2024-04-23,HOMEPAGE,View,40
2984,8,19,2025-12-25,CHECKOUT,Purchase,283
1593,8,20,2023-02-09,HOMEPAGE,View,252
2043,8,20,2023-06-19,HOMEPAGE,View,69
1222,9,1,2023-03-27,HOMEPAGE,Click,238
3574,9,1,2023-07-05,PRODUCTPAGE,Click,245
19,9,1,2024-08-15,HOMEPAGE,View,187
15,9,1,2025-11-04,PRODUCTPAGE,View,292
2569,9,4,2024-12-16,PRODUCTPAGE,Click,98
1701,9,5,2024-04-25,PRODUCTPAGE,View,95
2713,9,6,2025-06-20,HOMEPAGE,View,45
2995,9,7,2025-11-12,HOMEPAGE,View,83
269,9,7,2025-11-14,HOMEPAGE,Click,16
3810,9,8,2024-12-06,CHECKOUT,Drop-off,189.5
3314,9,9,2024-01-28,HOMEPAGE,View,172
1833,9,10,2024-01-30,PRODUCTPAGE,View,113
312,9,11,2023-05-15,CHECKOUT,Purchase,165
54,9,11,2024-11-19,CHECKOUT,Drop-off,153.75
2437,9,12,2023-04-27,CHECKOUT,Drop-off,157
3208,9,12,2024-11-18,HOMEPAGE,View,29
2814,9,13,2023-03-09,PRODUCTPAGE,View,78
1740,9,13,2023-05-31,CHECKOUT,Drop-off,184
1669,9,15,2024-02-18,HOMEPAGE,Click,13
2606,9,18,2025-05-29,PRODUCTPAGE,View,137
3748,9,20,2023-02-15,HOMEPAGE,Click,39
1501,9,20,2023-11-21,PRODUCTPAGE,View,101
2962,9,20,2024-12-26,CHECKOUT,Drop-off,183.5
1816,9,20,2025-08-10,CHECKOUT,Drop-off,103.142857142857
2206,10,1,2025-03-10,HOMEPAGE,Click,16
2955,10,3,2023-05-11,HOMEPAGE,Click,267
502,10,3,2023-08-19,PRODUCTPAGE,View,134
3774,10,3,2024-02-23,PRODUCTPAGE,Click,58
321,10,3,2024-11-24,CHECKOUT,Drop-off,151.666666666667
3827,10,3,2024-11-24,HOMEPAGE,View,90
867,10,4,2024-01-11,HOMEPAGE,View,219
1920,10,4,2024-09-05,PRODUCTPAGE,Click,21
281,10,4,2025-01-06,HOMEPAGE,View,236
2026,10,5,2024-02-15,HOMEPAGE,Click,295
2704,10,5,2024-04-23,HOMEPAGE,View,265
348,10,5,2025-01-27,HOMEPAGE,View,144
3065,10,5,2025-09-17,HOMEPAGE,View,261
3588,10,6,2025-06-17,PRODUCTPAGE,View,199
613,10,7,2023-10-17,HOMEPAGE,View,245
3091,10,7,2023-11-27,HOMEPAGE,View,196
2543,10,7,2025-02-13,PRODUCTPAGE,Click,215
1231,10,8,2024-06-21,HOMEPAGE,View,240
124,10,8,2024-07-27,PRODUCTPAGE,View,262
650,10,8,2025-06-17,HOMEPAGE,View,257
3047,10,9,2024-11-11,HOMEPAGE,Click,227
3617,10,10,2023-02-05,HOMEPAGE,View,237
3365,10,10,2023-02-11,CHECKOUT,Drop-off,104.6
2681,10,10,2025-05-21,CHECKOUT,Purchase,171
1795,10,11,2024-03-15,PRODUCTPAGE,View,174
236,10,11,2025-07-27,HOMEPAGE,Click,209
2345,10,12,2025-06-20,HOMEPAGE,View,278
1790,10,13,2023-11-01,HOMEPAGE,View,111
833,10,13,2024-09-07,HOMEPAGE,View,223
2981,10,14,2024-04-10,PRODUCTPAGE,Click,284
1181,10,15,2023-04-26,HOMEPAGE,View,59
571,10,15,2025-01-05,HOMEPAGE,View,48
3401,10,16,2023-02-27,HOMEPAGE,Click,33
748,10,16,2023-11-16,HOMEPAGE,View,246
1957,10,16,2024-03-11,HOMEPAGE,Click,172
1746,10,19,2023-02-02,PRODUCTPAGE,Click,212
3031,10,19,2023-07-23,HOMEPAGE,View,190
2571,10,19,2024-01-16,PRODUCTPAGE,Click,33
2971,10,19,2024-05-05,HOMEPAGE,View,138
2276,10,19,2025-11-07,HOMEPAGE,View,12
1108,10,20,2024-07-25,PRODUCTPAGE,View,252
2550,10,20,2024-07-29,PRODUCTPAGE,Click,142
3467,11,1,2024-02-07,PRODUCTPAGE,Click,30
3593,11,2,2025-07-09,HOMEPAGE,View,73
2842,11,3,2025-10-28,PRODUCTPAGE,View,156
991,11,4,2023-10-22,PRODUCTPAGE,View,273
3265,11,5,2025-05-02,HOMEPAGE,View,160
3914,11,6,2023-02-18,PRODUCTPAGE,View,297
2384,11,7,2023-01-08,PRODUCTPAGE,Click,17
3251,11,8,2025-11-27,PRODUCTPAGE,View,52
1561,11,11,2024-11-01,CHECKOUT,Drop-off,81.6666666666667
1159,11,12,2023-04-19,HOMEPAGE,Click,20
140,11,12,2024-01-26,CHECKOUT,Drop-off,155.5
3571,11,13,2024-11-02,HOMEPAGE,View,248
357,11,13,2025-04-02,HOMEPAGE,View,174
611,11,13,2025-08-30,PRODUCTPAGE,View,196
1303,11,14,2023-10-04,PRODUCTPAGE,View,77
327,11,14,2024-04-29,HOMEPAGE,View,204
2779,11,14,2024-05-19,HOMEPAGE,View,39
3163,11,14,2024-12-05,CHECKOUT,Drop-off,90.8571428571429
2207,11,14,2025-03-17,HOMEPAGE,Click,52
2635,11,14,2025-05-30,CHECKOUT,Purchase,184
1465,11,14,2025-12-16,CHECKOUT,Drop-off,NULL
2246,11,15,2023-06-04,PRODUCTPAGE,View,114
2391,11,15,2024-07-22,CHECKOUT,Drop-off,177
2113,11,16,2024-10-12,PRODUCTPAGE,View,137
1534,11,17,2025-01-02,HOMEPAGE,View,208
1603,11,17,2025-02-18,PRODUCTPAGE,View,14
3038,11,18,2023-06-03,PRODUCTPAGE,View,157
2843,11,20,2023-07-28,PRODUCTPAGE,View,101
3140,11,20,2024-01-28,HOMEPAGE,View,157
3130,12,1,2023-02-05,PRODUCTPAGE,Drop-off,229.333333333333
2482,12,1,2025-02-07,HOMEPAGE,View,280
22,12,1,2025-11-19,HOMEPAGE,Click,20
1448,12,5,2024-03-27,PRODUCTPAGE,View,87
2585,12,5,2024-10-12,PRODUCTPAGE,View,272
789,12,7,2023-10-22,HOMEPAGE,Click,246
3075,12,8,2023-07-03,PRODUCTPAGE,View,287
3359,12,8,2024-01-23,CHECKOUT,Drop-off,106
2380,12,9,2023-01-11,CHECKOUT,Purchase,123
3219,12,9,2024-08-15,HOMEPAGE,View,169
2732,12,9,2024-09-21,PRODUCTPAGE,Click,123
852,12,9,2024-10-14,CHECKOUT,Drop-off,146
843,12,10,2023-08-08,PRODUCTPAGE,View,30
225,12,10,2023-11-27,PRODUCTPAGE,View,163
2175,12,10,2024-03-28,HOMEPAGE,Click,280
1890,12,11,2023-09-30,HOMEPAGE,Click,162
1799,12,11,2023-10-28,HOMEPAGE,Click,167
1469,12,12,2023-11-12,PRODUCTPAGE,View,188
254,12,12,2025-02-09,HOMEPAGE,Click,255
521,12,13,2024-03-25,CHECKOUT,Drop-off,108
1551,12,14,2023-06-26,CHECKOUT,Drop-off,197.5
3673,12,14,2023-10-21,CHECKOUT,Drop-off,56
1056,12,15,2025-03-31,PRODUCTPAGE,View,145
2776,12,17,2024-06-19,HOMEPAGE,View,116
1113,12,17,2024-09-18,PRODUCTPAGE,View,291
29,12,17,2025-06-01,HOMEPAGE,View,205
1570,12,17,2025-08-16,PRODUCTPAGE,View,247
2617,12,19,2023-04-15,PRODUCTPAGE,View,142
1911,12,19,2024-03-28,CHECKOUT,Drop-off,172
1009,12,19,2025-03-29,CHECKOUT,Drop-off,124.5
637,12,20,2024-08-26,HOMEPAGE,View,122
1891,12,20,2025-07-18,PRODUCTPAGE,Click,285
2708,12,20,2025-12-30,CHECKOUT,Purchase,33
2067,13,1,2023-11-05,HOMEPAGE,Click,255
702,13,2,2023-01-28,PRODUCTPAGE,View,161
787,13,2,2024-03-23,PRODUCTPAGE,View,118
1062,13,2,2025-12-14,HOMEPAGE,Click,21
756,13,3,2024-08-20,CHECKOUT,Drop-off,213
2132,13,4,2023-03-17,PRODUCTPAGE,View,22
318,13,4,2025-02-01,HOMEPAGE,View,221
1653,13,4,2025-10-08,CHECKOUT,Drop-off,161
610,13,6,2023-02-24,CHECKOUT,Drop-off,209
317,13,6,2023-03-22,HOMEPAGE,View,88
251,13,6,2023-12-10,HOMEPAGE,View,102
1269,13,7,2023-02-14,HOMEPAGE,Click,146
2235,13,8,2023-05-14,CHECKOUT,Drop-off,211
671,13,8,2023-12-12,HOMEPAGE,View,263
2559,13,9,2023-02-08,CHECKOUT,Drop-off,234.5
1182,13,10,2024-07-14,HOMEPAGE,View,159
194,13,11,2025-04-27,HOMEPAGE,View,54
3068,13,12,2025-06-22,HOMEPAGE,View,143
2255,13,12,2025-09-23,HOMEPAGE,View,281
1294,13,12,2025-11-17,HOMEPAGE,View,59
1129,13,13,2024-10-06,CHECKOUT,Drop-off,136
602,13,13,2024-11-05,HOMEPAGE,View,98
965,13,14,2023-12-07,CHECKOUT,Drop-off,230.5
2623,13,15,2023-04-28,HOMEPAGE,View,138
2593,13,16,2023-01-07,PRODUCTPAGE,View,184
1486,13,16,2023-09-23,HOMEPAGE,View,285
2555,13,16,2025-10-06,PRODUCTPAGE,View,297
38,13,18,2023-02-23,PRODUCTPAGE,View,227
1235,13,18,2025-07-25,PRODUCTPAGE,View,154
1699,13,19,2024-04-06,PRODUCTPAGE,View,61
1402,13,19,2024-07-02,PRODUCTPAGE,Click,247
3882,13,20,2023-05-27,CHECKOUT,Drop-off,94.5
3679,14,1,2023-12-17,PRODUCTPAGE,Click,175
760,14,3,2024-04-22,PRODUCTPAGE,View,227
2553,14,4,2024-06-21,PRODUCTPAGE,Click,214
3609,14,5,2023-03-05,CHECKOUT,Drop-off,170
108,14,5,2023-03-06,PRODUCTPAGE,View,245
393,14,5,2024-05-26,PRODUCTPAGE,View,120
3183,14,5,2025-08-09,PRODUCTPAGE,Click,176
3597,14,5,2025-11-10,HOMEPAGE,View,83
1606,14,6,2024-06-19,HOMEPAGE,Click,164
3147,14,7,2024-11-11,PRODUCTPAGE,Click,125
89,14,9,2025-04-18,HOMEPAGE,Click,104
302,14,10,2023-08-16,CHECKOUT,Drop-off,NULL
1192,14,10,2024-12-10,HOMEPAGE,View,106
2717,14,12,2023-03-02,HOMEPAGE,View,291
704,14,13,2023-08-24,CHECKOUT,Drop-off,191.25
2150,14,13,2023-10-23,HOMEPAGE,Click,121
14,14,13,2025-11-01,PRODUCTPAGE,View,13
510,14,14,2023-12-21,CHECKOUT,Drop-off,NULL
3129,14,15,2023-08-25,PRODUCTPAGE,Click,192
516,14,15,2023-09-26,CHECKOUT,Drop-off,138.25
3279,14,15,2023-10-31,HOMEPAGE,Click,43
3291,14,15,2023-11-21,CHECKOUT,Drop-off,100.25
3499,14,16,2023-06-24,PRODUCTPAGE,Click,141
471,14,16,2024-02-01,PRODUCTPAGE,Click,10
16,14,16,2024-07-17,HOMEPAGE,View,46
1408,14,16,2024-10-29,HOMEPAGE,Click,288
3527,14,17,2023-07-07,CHECKOUT,Drop-off,297
2123,14,17,2025-03-03,HOMEPAGE,View,49
1075,14,18,2023-07-20,HOMEPAGE,Click,186
1698,14,18,2025-05-02,CHECKOUT,Drop-off,160
1177,14,19,2024-12-10,CHECKOUT,Drop-off,135.6
2219,14,20,2024-01-02,HOMEPAGE,Click,145
3759,15,1,2023-03-04,HOMEPAGE,View,51
2529,15,1,2024-02-05,CHECKOUT,Drop-off,94
1407,15,1,2024-03-23,PRODUCTPAGE,View,102
1228,15,1,2024-12-23,CHECKOUT,Drop-off,157.333333333333
3234,15,2,2023-06-21,PRODUCTPAGE,View,13
2422,15,2,2023-11-29,PRODUCTPAGE,View,185
647,15,2,2024-09-22,HOMEPAGE,View,96
148,15,3,2025-10-22,PRODUCTPAGE,View,185
1847,15,3,2025-11-30,HOMEPAGE,View,38
2728,15,4,2023-01-12,HOMEPAGE,Click,239
2401,15,4,2023-07-02,HOMEPAGE,Click,86
1602,15,5,2025-01-21,CHECKOUT,Drop-off,159
547,15,7,2023-05-24,PRODUCTPAGE,View,13
766,15,7,2025-07-04,CHECKOUT,Drop-off,175.833333333333
449,15,8,2025-04-10,PRODUCTPAGE,View,83
1760,15,9,2023-08-06,CHECKOUT,Drop-off,169.5
240,15,9,2023-09-16,HOMEPAGE,Click,103
1272,15,9,2023-10-06,PRODUCTPAGE,Click,69
1641,15,9,2024-08-17,PRODUCTPAGE,View,237
52,15,9,2025-08-07,CHECKOUT,Drop-off,173.25
219,15,10,2024-12-29,HOMEPAGE,Click,280
3769,15,10,2025-03-17,PRODUCTPAGE,View,174
505,15,11,2023-02-16,HOMEPAGE,Click,167
1179,15,12,2024-01-15,PRODUCTPAGE,View,249
2990,15,12,2024-08-21,CHECKOUT,Drop-off,121
3039,15,13,2024-06-13,HOMEPAGE,Click,98
370,15,15,2025-07-25,PRODUCTPAGE,View,173
2100,15,17,2023-12-30,PRODUCTPAGE,View,97
2848,15,17,2025-04-27,PRODUCTPAGE,View,128
670,15,18,2024-02-28,PRODUCTPAGE,View,88
1251,15,18,2024-04-24,HOMEPAGE,View,189
94,15,18,2024-09-20,HOMEPAGE,Click,143
2871,15,19,2023-12-04,PRODUCTPAGE,View,204
3806,15,19,2025-01-08,HOMEPAGE,View,187
88,15,20,2025-12-18,HOMEPAGE,View,136
3839,16,2,2024-10-12,HOMEPAGE,View,64
3910,16,2,2025-07-26,CHECKOUT,Drop-off,180.5
2533,16,2,2025-10-21,HOMEPAGE,Click,79
3393,16,3,2023-04-28,PRODUCTPAGE,View,216
1270,16,3,2025-04-22,PRODUCTPAGE,Click,282
3071,16,4,2023-09-25,PRODUCTPAGE,View,214
1827,16,4,2023-10-31,HOMEPAGE,Click,242
3330,16,5,2023-03-13,CHECKOUT,Drop-off,NULL
1363,16,5,2023-11-14,HOMEPAGE,View,296
3536,16,6,2025-01-18,CHECKOUT,Purchase,260
2126,16,7,2023-07-10,HOMEPAGE,Click,217
1559,16,10,2025-07-19,PRODUCTPAGE,View,195
